0.005236	;	0.006236	;	0.063766
0.005307	;	0.006113	;	0.063725
0.005276	;	0.006114	;	0.063747
0.005254	;	0.006279	;	0.063759
0.005343	;	0.006290	;	0.063695
0.005330	;	0.006294	;	0.063709
0.005245	;	0.006161	;	0.063768
0.005283	;	0.006247	;	0.063745
0.005242	;	0.006200	;	0.063771
0.005121	;	0.006258	;	0.063861
0.005289	;	0.006311	;	0.063745
0.005228	;	0.006304	;	0.063789
0.005178	;	0.006293	;	0.063835
0.005075	;	0.006238	;	0.063923
0.005233	;	0.006291	;	0.063785
0.005215	;	0.006279	;	0.063795
0.005261	;	0.006316	;	0.063778
0.005256	;	0.006311	;	0.063778
0.005246	;	0.006304	;	0.063781
0.005216	;	0.006304	;	0.063798
0.005269	;	0.006258	;	0.063772
0.005243	;	0.006317	;	0.063788
0.005180	;	0.006275	;	0.063860
0.005201	;	0.006308	;	0.063847
0.005131	;	0.006270	;	0.063903
0.005150	;	0.006282	;	0.063896
0.005185	;	0.006391	;	0.063824
0.005209	;	0.006388	;	0.063815
0.005067	;	0.006476	;	0.063896
0.005229	;	0.006314	;	0.063841
0.005235	;	0.006372	;	0.063812
0.005078	;	0.006416	;	0.063917
0.005250	;	0.006358	;	0.063810
0.005175	;	0.006412	;	0.063831
0.005141	;	0.006257	;	0.063915
0.005199	;	0.006405	;	0.063822
0.005217	;	0.006398	;	0.063818
0.005244	;	0.006367	;	0.063817
0.005099	;	0.006395	;	0.063916
0.005231	;	0.006370	;	0.063827
0.005218	;	0.006329	;	0.063850
0.005241	;	0.006273	;	0.063850
0.005296	;	0.006280	;	0.063821
0.005196	;	0.006279	;	0.063886
0.005259	;	0.006360	;	0.063833
0.005228	;	0.006335	;	0.063864
0.005134	;	0.006269	;	0.063952
0.005279	;	0.006376	;	0.063825
0.005192	;	0.006536	;	0.063832
0.005218	;	0.006515	;	0.063825
0.005158	;	0.006307	;	0.063939
0.005169	;	0.006421	;	0.063907
0.005132	;	0.006542	;	0.063904
0.005260	;	0.006461	;	0.063821
0.005206	;	0.006293	;	0.063915
0.005241	;	0.006510	;	0.063824
0.005175	;	0.006440	;	0.063906
0.005257	;	0.006339	;	0.063884
0.005207	;	0.006383	;	0.063907
0.005209	;	0.006252	;	0.063938
0.005238	;	0.006296	;	0.063913
0.005304	;	0.006388	;	0.063855
0.005289	;	0.006346	;	0.063883
0.005258	;	0.006277	;	0.063927
0.005274	;	0.006235	;	0.063932
0.005245	;	0.006711	;	0.063815
0.005335	;	0.006399	;	0.063852
0.005300	;	0.006624	;	0.063808
0.005218	;	0.006752	;	0.063819
0.005338	;	0.006515	;	0.063815
0.005323	;	0.006575	;	0.063809
0.005245	;	0.006736	;	0.063816
0.005281	;	0.006698	;	0.063806
0.005328	;	0.006342	;	0.063883
0.005310	;	0.006654	;	0.063804
0.005353	;	0.006538	;	0.063810
0.005336	;	0.006601	;	0.063804
0.005337	;	0.006290	;	0.063894
0.005384	;	0.006384	;	0.063853
0.005383	;	0.006338	;	0.063870
0.005422	;	0.006278	;	0.063858
0.005401	;	0.006401	;	0.063870
0.005388	;	0.006469	;	0.063855
0.005437	;	0.006327	;	0.063862
