192	232
207	210
183	396
191	337
188	367
214	215
221	213
214	240
206	378
223	237
214	336
218	288
218	306
216	383
215	345
211	378
223	285
220	314
232	239
234	228
240	246
249	217
227	416
235	373
247	248
243	295
236	382
250	236
248	292
245	321
263	229
259	234
265	253
272	226
273	220
255	412
259	382
272	254
268	320
265	351
272	290
265	360
284	217
270	329
284	213
274	298
283	251
284	240
290	214
290	261
292	248
301	215
301	211
282	420
286	390
299	258
309	212
305	234
306	216
309	246
314	242
314	223
316	255
316	269
322	232
326	210
324	267
333	226
331	237
339	237
333	267
333	243
341	244
340	255
324	418
328	389
335	329
341	358
338	389
345	329
349	253
356	224
356	247
363	235
348	417
367	224
357	354
354	384
351	414
365	294
371	220
372	232
373	241
374	230
382	241
367	383
384	218
371	353
368	408
371	379
378	320
375	350
382	290
388	242
397	239
380	407
386	372
393	314
397	283
387	374
384	403
391	345
395	316
401	280
404	239
394	402
407	244
402	368
405	338
409	310
413	280
400	397
403	369
407	340
411	312
418	276
418	244
420	335
