	160	235
	178	224
	199	218
	217	212
	235	204
	254	198
	269	191
	185	243
	202	230
	221	224
	241	217
	258	209
	277	203
	292	196
	209	250
	227	237
	248	231
	265	223
	284	214
	301	208
	318	202
	235	257
	254	234
	272	237
	290	229
	307	222
	326	215
	341	208
	260	264
	279	251
	298	243
	315	235
	333	228
	350	220
	366	212
	288	272
	306	258
	323	250
	342	242
	358	234
	376	227
	392	220
	314	279
	333	269
	352	261
	366	253
	384	244
	400	236
	416	228

	159	408
	158	382
	158	354
	159	325
	159	296
	160	267
	182	416
	181	390
	182	361
	182	332
	183	304
	184	274
	207	425
	205	398
	205	369
	207	340
	208	370
	208	281
	230	431
	230	405
	231	377
	231	349
	233	316
	233	288
	256	441
	256	413
	256	383
	258	355
	259	324
	260	295
	282	427
	282	421
	283	392
	284	369
	285	332
	285	301
	310	456
	309	428
	311	399
	310	369
	313	340
	314	310

    329	444
	330	418
	330	389
	331	360
	331	330
	331	301
	346	435
	347	407
	347	378
	348	350
	349	320
	350	291
	363	424
	365	397
	365	369
	366	340
	366	311
	368	283
	379	414
	381	387
	382	359
	382	331
	383	302
	384	273
	396	403
	397	378
	398	350
	399	322
	401	294
	401	265
	410	394
	411	368
	413	340
	414	313
	415	286
	416	257
